Date_Collected,LTC_Home,LTC_Home_Number,City,PHU,1st_dose_percentage_staff_vaccination_rate,2nd_dose_percentage_staff_vaccination_rate
2021-08-31,Algoma Manor Nursing Home,3041,Thessalon,ALGOMA,0.92,0.91
2021-08-31,Cedarwood Lodge,7093,Sault Ste. Marie,ALGOMA,0.95,0.95
2021-08-31,Extendicare Maple View of Sault Ste. Marie,3043,Sault Ste. Marie,ALGOMA,0.74,0.68
2021-08-31,Extendicare Van Daele,2609,Sault Ste. Marie,ALGOMA,0.9,0.88
2021-08-31,F. J. Davey Home,2936,Sault Ste. Marie,ALGOMA,0.87,0.74
2021-08-31,Lady Dunn Health Centre (Wawa),2875,Wawa,ALGOMA,0.96,0.95
2021-08-31,Mauno Kaihla Koti,2780,Sault Ste. Marie,ALGOMA,0.88,0.88
2021-08-31,North Shore Health Network - Eldcap Unit,2795,Blind River,ALGOMA,1,1
2021-08-31,North Shore Health Network - LTC Unit,2865,Blind River,ALGOMA,0.95,0.9
2021-08-31,St. Joseph's Manor,2877,Elliot Lake,ALGOMA,0.97,0.97
2021-08-31,Brierwood Gardens LTC,2678,Brantford,BRANT,0.86,0.82
2021-08-31,Fox Ridge Care Community,2570,Brantford,BRANT,0.96,0.9
2021-08-31,Hardy Terrace,2720,Brantford,BRANT,0.93,0.92
2021-08-31,Iroquois Lodge Nursing Home,2724,Ohsweken,BRANT,0.77,0.77
2021-08-31,John Noble Home,M544,Brantford,BRANT,0.86,0.85
2021-08-31,Park Lane Terrace,2779,Paris,BRANT,0.82,0.79
2021-08-31,St. Joseph's Lifecare Centre,2976,Brantford,BRANT,0.84,0.81
2021-08-31,Telfer Place,2742,Paris,BRANT,0.78,0.67
2021-08-31,Blenheim Community Village,2695,Blenheim,CHATHAM-KENT,0.87,0.83
2021-08-31,Copper Terrace,1115,Chatham,CHATHAM-KENT,0.86,0.8
2021-08-31,Fairfield Park,2823,Wallaceburg,CHATHAM-KENT,0.79,0.77
2021-08-31,Meadow Park Nursing Home (Chatham),2685,Chatham,CHATHAM-KENT,0.92,0.9
